aX,aY,aZ,Result,,,,,,,
-2176,996,-16868,1,,,,,,,
-2176,996,-16868,1,,,,,,,
-6564,-1340,-13532,1,,,,,,,
-8,2316,-23504,1,,,,,,,
17064,-5608,10432,1,,,,,,,
-1036,-5332,-7712,1,,,,,,,
-3340,4108,-19352,1,,,,,,,
-5852,5304,-22980,1,,,,,,,
-2492,1232,-22876,1,,,,,,,
-2652,432,-7376,1,,,,,,,
-10096,7844,6196,1,,,,,,,
-712,120,-9168,1,,,,,,,
-712,-24,-7396,1,,,,,,,
-840,-1096,-11848,1,,,,,,,
-1272,100,-18120,1,,,,,,,
-648,0,-7472,1,,,,,,,
-488,-892,-8352,1,,,,,,,
-708,4,-7384,1,,,,,,,
-552,-136,-5512,1,,,,,,,
-1556,1120,-11628,1,,,,,,,
-856,-588,-14448,1,,,,,,,
-2340,1556,-17080,1,,,,,,,
2316,-2796,-3008,1,,,,,,,
1252,-1988,-536,1,,,,,,,
-2088,-612,-16020,1,,,,,,,
-2916,2000,-14192,1,,,,,,,
-4188,3520,-28644,1,,,,,,,
-3848,3052,-24928,1,,,,,,,
12,11052,-23608,1,,,,,,,
9764,-1184,11352,1,,,,,,,
-3040,1832,-26928,1,,,,,,,
56,-2132,-2492,1,,,,,,,
-3856,60,-23356,1,,,,,,,
-6408,4140,-23160,1,,,,,,,
-1288,4664,-25916,1,,,,,,,
-4148,3484,20408,1,,,,,,,
-5576,-1648,-32768,1,,,,,,,
-320,-924,6688,1,,,,,,,
-3932,4968,-12852,1,,,,,,,
-4772,-2352,-15612,1,,,,,,,
380,-3936,-8264,1,,,,,,,
-128,1844,-21864,1,,,,,,,
1932,252,11172,1,,,,,,,
-2340,-1532,-23972,1,,,,,,,
-1768,-280,-25676,1,,,,,,,
-6152,-576,-15840,1,,,,,,,
-3664,-800,-32768,1,,,,,,,
-1280,-1392,-25600,1,,,,,,,
1636,-1628,11528,1,,,,,,,
1588,-3652,32767,1,,,,,,,
140,-2348,8008,1,,,,,,,
796,2000,18324,1,,,,,,,
-4480,2560,-32768,1,,,,,,,
496,13424,-29852,1,,,,,,,
-328,2220,10224,1,,,,,,,
-340,-1432,-6628,1,,,,,,,
476,-5952,32767,1,,,,,,,
-988,-2220,14080,1,,,,,,,
-7960,6816,-32492,1,,,,,,,
-764,-420,1532,1,,,,,,,
580,-984,872,1,,,,,,,
-10468,5184,-28300,1,,,,,,,
-6976,5544,-32768,1,,,,,,,
6024,-4424,-20788,1,,,,,,,
4204,-3312,-6956,1,,,,,,,
-3564,-156,-11188,1,,,,,,,
-1316,6640,-10312,1,,,,,,,
1108,-2892,17080,1,,,,,,,
-2144,1484,32767,1,,,,,,,
2748,292,27764,1,,,,,,,
-52,4,-15008,1,,,,,,,
4512,-3708,15832,1,,,,,,,
3216,-19604,-32768,1,,,,,,,
4760,7172,-14424,1,,,,,,,
-688,-780,-10424,1,,,,,,,
612,1100,-4296,1,,,,,,,
-2696,4956,15732,1,,,,,,,
-3568,-1340,-32768,1,,,,,,,
-3028,-1652,-32768,1,,,,,,,
4884,-8520,30872,1,,,,,,,
-804,-2220,-2000,1,,,,,,,
-8456,6436,-9820,1,,,,,,,
-2632,724,1956,1,,,,,,,
-248,-696,-10680,1,,,,,,,
1056,-516,31820,1,,,,,,,
-172,7232,-9820,1,,,,,,,
-1056,128,15136,1,,,,,,,
-4868,5596,-24716,1,,,,,,,
1244,-2864,4928,1,,,,,,,
300,-24,-2936,1,,,,,,,
-12112,11388,-11776,1,,,,,,,
0,-700,-8568,1,,,,,,,
-408,624,-20084,1,,,,,,,
-240,-552,-7260,1,,,,,,,
-1648,712,-3848,1,,,,,,,
-444,-320,-7136,1,,,,,,,
-536,0,-8008,1,,,,,,,
140,-816,-7048,1,,,,,,,
-764,44,-7508,1,,,,,,,
-868,128,-8496,1,,,,,,,
-608,-132,-7320,1,,,,,,,
588,-908,-8588,1,,,,,,,
-588,-908,-8588,1,,,,,,,
-1136,-112,-9832,1,,,,,,,
-1204,4692,272,1,,,,,,,
-400,-112,-9832,1,,,,,,,
-1304,-1168,-11344,1,,,,,,,
-1204,4692,272,1,,,,,,,
-1436,-296,-9704,1,,,,,,,
-696,-48,-6588,1,,,,,,,
-1324,180,-9108,1,,,,,,,
-688,960,-772,1,,,,,,,
432,-1620,-13988,1,,,,,,,
-1304,-1168,-11344,1,,,,,,,
-224,-3200,-11492,1,,,,,,,
-200,-2344,-12416,1,,,,,,,
-828,-656,-7948,1,,,,,,,
-464,-160,-5004,1,,,,,,,
-656,-488,-6048,1,,,,,,,
-1344,368,-8176,1,,,,,,,
-424,192,-6396,1,,,,,,,
-832,408,-7196,1,,,,,,,
-612,-604,-5436,1,,,,,,,
-1084,-816,-9952,1,,,,,,,
-1048,180,-8672,1,,,,,,,
-400,-1196,-10212,1,,,,,,,
-1084,-112,-7844,1,,,,,,,
-856,848,-6704,1,,,,,,,
-1284,-1168,-10112,1,,,,,,,
-540,556,-6484,1,,,,,,,
-1388,104,-8948,1,,,,,,,
-1076,-128,-8160,1,,,,,,,
-160,-1612,-9592,1,,,,,,,
-92,-3080,-12716,1,,,,,,,
-828,-1564,-10204,1,,,,,,,
-556,-80,-7624,1,,,,,,,
-688,-268,-7488,1,,,,,,,
-576,-904,-9920,1,,,,,,,
-1060,-40,-6780,1,,,,,,,
-1340,284,-8772,1,,,,,,,
-696,-2004,-7680,1,,,,,,,
-1276,1504,-2824,1,,,,,,,
-1076,-336,-9104,1,,,,,,,
-1152,2020,-5852,1,,,,,,,
-88,-1420,-8120,1,,,,,,,
